Strike,G_S,G_SS,Strike
2600.0,-5374.602836399067,-515746517.74172866,2600.0
2605.0,-49.30156807858577,-4730975.074759811,2605.0
2610.0,-189.98902046551967,-18231333.309068024,2610.0
2615.0,-46.99181696343757,-4509331.516947477,2615.0
2620.0,-55.294059075727816,-5306014.097819115,2620.0
2625.0,-3136.5953917721345,-300987477.6077532,2625.0
2630.0,-217.8171247571026,-20901716.278864056,2630.0
2635.0,-25.084690124410614,-2407125.13540126,2635.0
2640.0,-153.88604989008402,-14766894.74101036,2640.0
2645.0,-30.320976737385763,-2909598.8378765364,2645.0
2650.0,-3331.964888574568,-319735121.05526763,2650.0
2655.0,-33.01862719551352,-3168465.189905616,2655.0
2660.0,-184.41444422867548,-17696397.35760254,2660.0
2665.0,-37.46555381467509,-3595191.96178039,2665.0
2670.0,-111.74786618928235,-10723317.537413605,2670.0
2675.0,-1055.3868184512983,-101274846.3571055,2675.0
2680.0,-104.65351643251796,-10042544.223725457,2680.0
2685.0,-45.77549996254149,-4392613.821374922,2685.0
2690.0,-165.6729508294763,-15897964.942754082,2690.0
2695.0,-84.44419987707619,-8103259.599972199,2695.0
2700.0,-6478.917673235606,-621716493.3707671,2700.0
2705.0,-168.49547193587,-16168813.873584177,2705.0
2710.0,-165.3702523914946,-15868918.021508545,2710.0
2715.0,-34.763762159606415,-3335928.220778289,2715.0
2720.0,-196.7520911385634,-18880317.10471541,2720.0
2725.0,-1708.2939750097114,-163927772.09947795,2725.0
2730.0,-126.13463786115275,-12103871.155452436,2730.0
2735.0,-87.33496391188922,-8380657.117509836,2735.0
2740.0,-223.47074293183056,-21444237.089240972,2740.0
2745.0,-51.56715834342407,-4948380.960420151,2745.0
2750.0,-5426.104246510244,-520688589.5063139,2750.0
2755.0,-159.69918860925247,-15324723.131836992,2755.0
2760.0,-532.4905662493773,-51097758.03591045,2760.0
2765.0,-72.89892162187783,-6995375.494350122,2765.0
2770.0,-283.0540416551841,-27161846.328014694,2770.0
2775.0,-1755.191942693912,-168428097.8460583,2775.0
2780.0,-217.52567623423147,-20873748.898697138,2780.0
2785.0,-52.29860229816197,-5018570.271902757,2785.0
2790.0,-242.44410635310132,-23264919.735426016,2790.0
2795.0,-87.41763594621865,-8388590.320226001,2795.0
2800.0,-7422.179598416401,-712231842.697731,2800.0
2805.0,-129.5305396800117,-12429741.659931004,2805.0
2810.0,-664.2742878666397,-63743714.87924172,2810.0
2815.0,-104.2347761606166,-10002361.936095055,2815.0
2820.0,-464.30022494581283,-44554217.5843715,2820.0
2825.0,-1802.9331272022553,-173009338.62096548,2825.0
2830.0,-507.18089932821897,-48669044.1425996,2830.0
2835.0,-114.62842877429935,-10999736.124531941,2835.0
2840.0,-464.4019171227143,-44563975.95865791,2840.0
2845.0,-123.78918041822118,-11878801.220887033,2845.0
2850.0,-4419.006678924032,-424047576.3339337,2850.0
2855.0,-102.89385766215631,-9873687.489404272,2855.0
2860.0,-358.6612264996347,-34417106.57453855,2860.0
2865.0,-258.84147924726267,-24838410.508177206,2865.0
2870.0,-473.4558639203357,-45432792.06932344,2870.0
2875.0,-1848.5322159929042,-177385024.03844464,2875.0
2880.0,-623.9957195646184,-59878586.24113979,2880.0
2885.0,-285.41688467864645,-27388584.581689548,2885.0
2890.0,-554.9736328749333,-53255231.55967594,2890.0
2895.0,-147.1413438469682,-14119673.213985084,2895.0
2900.0,-4863.386084689836,-466690193.48281413,2900.0
2905.0,-408.73719515666096,-39222393.07543074,2905.0
2910.0,-234.66064606303405,-22518019.42245838,2910.0
2915.0,-181.36235452281824,-17403519.039790716,2915.0
2920.0,-596.566384495567,-57246469.13845313,2920.0
2925.0,-2154.4293128847867,-206738888.37253818,2925.0
2930.0,-859.3670811514187,-82464805.87627344,2930.0
2935.0,-444.1437629623124,-42620004.88169877,2935.0
2940.0,-361.42302663400017,-34682128.725077964,2940.0
2945.0,-356.37271795607717,-34197501.45243194,2945.0
2950.0,-4472.908067482351,-429219949.86489075,2950.0
2955.0,-309.2742822445871,-29677938.807769947,2955.0
2960.0,-675.7506501084976,-64844985.80897361,2960.0
2965.0,-303.56193309266644,-29129782.176869594,2965.0
2970.0,-618.6667261864898,-59367216.40387012,2970.0
2975.0,-2073.948378614077,-199015943.4669887,2975.0
2980.0,-328.0801920197973,-31482552.6136206,2980.0
2985.0,-157.00977261090543,-15066646.95800092,2985.0
2990.0,-442.0033540846191,-42414611.39332087,2990.0
2995.0,-117.71324716747245,-11295755.08492281,2995.0
3000.0,-796.5141545511756,-76433443.37178917,3000.0
3005.0,-53.44772461057801,-5128839.969800092,3005.0
3010.0,-111.87971335857583,-10735969.582691565,3010.0
3015.0,270.7758786684167,25983634.654064607,3015.0
3020.0,-522.6213568860771,-50150709.38563356,3020.0
3025.0,-978.5387338467899,-93900509.45513427,3025.0
3030.0,-331.50691125172216,-31811380.354932897,3030.0
3035.0,-50.53205407534733,-4849052.426199034,3035.0
3040.0,308.1553397237258,29570565.160590082,3040.0
3045.0,165.65798974710333,15896529.278320754,3045.0
3050.0,457.3452202194517,43886815.81019661,3050.0
3055.0,-156.5748643983511,-15024913.195899816,3055.0
3060.0,1592.2512623234297,152792321.38823026,3060.0
3065.0,246.68626064539012,23671996.568927802,3065.0
3070.0,-29.27381652995109,-2809113.416545574,3070.0
3075.0,2594.8935069877166,249005802.08010116,3075.0
3080.0,699.0390598744511,67079740.00498417,3080.0
3085.0,-247.29884523821966,-23730780.14423395,3085.0
3090.0,509.9531003480706,48935064.36139337,3090.0
3095.0,583.5953776767155,56001772.21812979,3095.0
3100.0,7104.486385504317,681746023.8833741,3100.0
3105.0,338.5262233877029,32484953.06370254,3105.0
3110.0,1683.5022526215937,161548760.1278589,3110.0
3115.0,811.9130702546329,77911122.26133813,3115.0
3120.0,848.9839500462892,81468441.33107214,3120.0
3125.0,4157.078019481731,398912920.22702134,3125.0
3130.0,1471.8014233707777,141233963.14421844,3130.0
3135.0,1027.1851044016955,98568611.82068054,3135.0
3140.0,1725.3245564852193,165562025.52405187,3140.0
3145.0,280.56807722620647,26923293.35275262,3145.0
3150.0,9422.79262536161,904210530.873141,3150.0
3155.0,394.46770203888093,37853093.499359116,3155.0
3160.0,1429.2920667777764,137154768.215469,3160.0
3165.0,615.970981661107,59108532.945015885,3165.0
3170.0,722.522057116315,69333166.8017713,3170.0
3175.0,8299.618230973138,796430793.4012958,3175.0
3180.0,1523.2071398356695,146166852.15310183,3180.0
3185.0,431.85977187398805,41441233.943524964,3185.0
